name,obj_id,partial_cd_l2_x1000,3dsgrasp_cd_l2_x1000,adapointr_cd_l2_x1000,shape_comp_cd_l2_x1000,3dsgrasp_improvement_percent,adapointr_improvement_percent,shape_comp_improvement_percent,winner,partial_fscore_0p02,3dsgrasp_fscore_0p02,adapointr_fscore_0p02,shape_comp_fscore_0p02
scene000048_im000001_gt000000_obj000001,1,276.91789939213504,78.6798886319279,396.76627114006476,230.99673837571322,71.58728677176926,-43.27938786586562,16.582951523619023,3DSGrasp,0.03871281386462882,0.07997315007570023,0.01755781520797227,0.018018728956228955
scene000048_im000001_gt000001_obj000006,6,52.08698590724032,11.009028547840732,57.006407812467025,84.54123948990159,78.86414743320668,-9.444627711781044,-62.3077972690871,3DSGrasp,0.1838739158640359,0.14753524516201091,0.09837979950242531,0.07433761321069376
scene000048_im000001_gt000002_obj000014,14,114.02321363950382,18.537680831912162,129.7103119409393,188.99509234002136,83.7421870159519,-13.757811063834643,-65.75141702070323,3DSGrasp,0.1969647648358586,0.16813752128899248,0.0879851310483871,0.1399381297309738
scene000048_im000001_gt000003_obj000019,19,241.01343973235024,41.30841587773898,252.00139532031056,267.81239559987233,82.86053428239822,-4.5590634282314975,-11.119278616695752,3DSGrasp,0.122447983957795,0.2580344197879728,0.09321781682893361,0.09501920518572621
scene000048_im000001_gt000004_obj000020,20,25.586308627828995,21.870805582594542,22.16322629246206,102.15191601372945,14.521450121152998,13.378570489233507,-299.24444553374815,3DSGrasp,0.3050940546632348,0.33130981933339126,0.31505169520792975,0.2010798489171788
scene000049_im000001_gt000000_obj000003,3,40.192298517638164,10.658952910004189,82.49378711724654,21.307491085800024,73.48011110803586,-105.24774685638994,46.9861344793472,3DSGrasp,0.3351727046085602,0.22751852788183077,0.04287153563348416,0.14688958765560167
scene000049_im000001_gt000001_obj000006,6,97.30232279547212,20.20239965353032,175.09727422671796,105.66053952989915,79.23749498149655,-79.95179271801098,-8.589945742606632,3DSGrasp,0.09119396950092422,0.10135442881843859,0.06300549339053803,0.041313498199778434
scene000049_im000001_gt000002_obj000009,9,125.54053477616911,28.58903809286476,209.68281921944708,52.48186831912559,77.22724525282833,-67.0239971442677,58.195280581927214,3DSGrasp,0.13651209677419354,0.07091288248697916,0.013906665558510639,0.06202657323356232
scene000049_im000001_gt000003_obj000013,13,232.73634155278043,216.2957764462663,276.6229852796226,472.8142348426988,7.0640300508400395,-18.856807421667522,-103.15445009067182,3DSGrasp,0.28916380421872967,0.05933769256714357,0.055292242204595186,0.11061039922552875
scene000050_im000620_gt000000_obj000002,2,145.9675360894799,13.58943311314876,178.52785774101451,118.8506120595355,90.69009899241003,-22.30655015754649,18.577366417503548,3DSGrasp,0.26455372807017546,0.13442329064352243,0.024777770186218337,0.07171980218855219
scene000050_im000620_gt000002_obj000005,5,126.59474921411828,22.15703194651293,159.29854927837022,44.38998864691358,82.49766907074697,-25.833456969797215,64.93536349455239,3DSGrasp,0.2672534212129042,0.1451222489519817,0.06168546310665914,0.1456754849357667
scene000050_im000620_gt000003_obj000010,10,15.175939974133579,65.11548898988536,20.10042082963004,102.91818410302196,-329.07054917764935,-32.449264189828924,-578.1667842548102,AdaPoinTr,0.44542642888877276,0.2901932102942753,0.15407681225576852,0.03038398369208916
scene000050_im000620_gt000004_obj000015,15,13.984659239478255,13.781923441783226,16.58885748756147,44.48706160163523,1.4497013779407084,-18.621821264916086,-218.1133042988252,3DSGrasp,0.42122907034559354,0.3781324425609414,0.277625347522736,0.16090818497328066
scene000051_im000001_gt000000_obj000001,1,211.7238904739695,60.23985728829642,293.69385881065017,120.2313292892159,71.54791688673289,-38.71550260727828,43.21314943719221,3DSGrasp,0.15826604911846778,0.07487141667082668,0.02170461826223545,0.07018317593378608
scene000051_im000001_gt000001_obj000003,3,13.700337967595633,6.548733056181378,11.525534323365703,24.648798293417745,52.20020796807642,15.874087554437185,-79.9137973947626,3DSGrasp,0.5062563217444487,0.4183426517719683,0.18075316311297265,0.2786691993984067
scene000051_im000001_gt000002_obj000004,4,83.81964837158554,22.197878810528053,193.13352236315538,21.75062136299323,73.51709385355399,-130.4155721424223,74.0506888473579,shape_comp,0.09254563894523327,0.12743737456995413,0.005211463341346154,0.1067021484375
scene000051_im000001_gt000003_obj000012,12,52.45392018775767,14.98395619966801,85.15194827124799,38.16595201941598,71.43405841539914,-62.33667181870953,27.239085500565462,3DSGrasp,0.3273624713920302,0.1822436685837029,0.1686801230962829,0.10290549051570835
scene000051_im000001_gt000004_obj000017,17,49.85899911099677,52.77813751519359,132.43829231821718,168.82413868911252,-5.854787412996797,-165.62565370271733,-238.6031442654394,3DSGrasp,0.24805353121957158,0.2425521904887678,0.2121527097870977,0.15055663752775134
scene000052_im000001_gt000000_obj000005,5,65.48065645389391,17.64400785919014,106.47040663065084,16.67427554249533,73.05462587777568,-62.59825786202757,74.5355705860463,shape_comp,0.2713178364863819,0.13807904990554157,0.041875625454876275,0.13020165286847016
scene000052_im000001_gt000001_obj000006,6,47.10665742687099,20.53654608414375,55.99340819652696,86.43213463991584,56.40415345532644,-18.86516950062076,-83.48178232364346,3DSGrasp,0.1968661138136868,0.17721606533161596,0.10877900160974244,0.06945607699912126
scene000052_im000001_gt000002_obj000011,11,80.45622406649127,14.888208564199646,141.38029618763724,89.55965955455392,81.49526809523697,-75.72325550699051,-11.31476848893543,3DSGrasp,0.28390127778988666,0.10156236253343187,0.03003812123493976,0.06702671068009795
scene000053_im000001_gt000000_obj000004,4,85.24255424417541,6.326304830486666,141.9976027689624,76.1439631542228,92.57846636978391,-66.58065214964512,10.6737663724739,3DSGrasp,0.23315545987541225,0.16587096168089926,0.022195567255434784,0.07129311799210963
scene000053_im000001_gt000001_obj000009,9,115.94539634903695,35.61177636844119,172.9087044100016,49.027523572850264,69.28573493229774,-49.129426311575834,57.714989023574546,3DSGrasp,0.15850234025401422,0.13462716039189784,0.0384002179730663,0.11162125392974302
scene000053_im000001_gt000002_obj000013,13,11.429175008467876,28.543586121573053,117.0860942169531,146.68357324909385,-149.74318881656035,-924.4492199148583,-1183.4134847039788,3DSGrasp,0.37870624360392185,0.04645395842567967,0.08191849835384284,0.17478409600717812
scene000054_im000001_gt000000_obj000002,2,64.1239733221377,11.548569041376137,96.12282528780469,82.50202184443742,81.99024726156638,-49.90154275829931,-28.6601836570146,3DSGrasp,0.21912217749826057,0.1583046327865831,0.1028553016802444,0.0401000047564688
