sample_name,scene_id,im_id,gt_idx,obj_id,partial_points,gt_points,completion_points,normalization_scale,bbox_diag_partial_raw,bbox_diag_gt_raw,bbox_diag_completion_raw,partial_cd_l1,partial_cd_l2,partial_cd_l2_x1000,partial_precision_0p01,partial_recall_0p01,partial_fscore_0p01,partial_precision_0p02,partial_recall_0p02,partial_fscore_0p02,completed_cd_l1,completed_cd_l2,completed_cd_l2_x1000,completed_precision_0p01,completed_recall_0p01,completed_fscore_0p01,completed_precision_0p02,completed_recall_0p02,completed_fscore_0p02,cd_l2_improvement_abs,cd_l2_improvement_percent,completed_x_cd_l1,completed_x_cd_l2,completed_x_cd_l2_x1000,completed_x_precision_0p01,completed_x_recall_0p01,completed_x_fscore_0p01,completed_x_precision_0p02,completed_x_recall_0p02,completed_x_fscore_0p02,completed_x_cd_l2_improvement_percent
scene000048_im000001_gt000000_obj000001,48,1,0,1,2048,8192,8192,75.78184509277344,181.20480346679688,230.03445434570312,226.2639617919922,0.4457206405876334,0.27999218918698693,279.99218918698693,0.00830078125,0.00244140625,0.0037730823863636365,0.068359375,0.0191650390625,0.029937020571827056,0.3051492589392238,0.07917700509104705,79.17700509104705,0.013671875,0.014892578125,0.014256143162393162,0.073974609375,0.086181640625,0.0796129180163872,0.20081518409593987,71.72170933733786,0.3051492589392238,0.07917700509104705,79.17700509104705,0.013671875,0.014892578125,0.014256143162393162,0.073974609375,0.086181640625,0.0796129180163872,71.72170933733786
scene000048_im000001_gt000001_obj000006,48,1,1,6,2048,8192,8192,67.97994995117188,130.08213806152344,133.5888214111328,156.3059844970703,0.19765340486750443,0.050456078335216474,50.456078335216475,0.13037109375,0.0328369140625,0.0524604700355273,0.572265625,0.1197509765625,0.19805700410125243,0.11488337064985367,0.010826340630007567,10.826340630007568,0.0234375,0.02783203125,0.02544642857142857,0.11328125,0.204345703125,0.1457592717140661,0.0396297377052089,78.5430398334165,0.11488337064985367,0.010826340630007567,10.826340630007568,0.0234375,0.02783203125,0.02544642857142857,0.11328125,0.204345703125,0.1457592717140661,78.5430398334165
scene000048_im000001_gt000002_obj000014,48,1,2,14,2048,8192,8192,77.74187469482422,144.17752075195312,176.7754669189453,169.26759338378906,0.2797651422772253,0.11676570952453648,116.76570952453648,0.13037109375,0.0318603515625,0.05120670499435666,0.55859375,0.1239013671875,0.2028161889644071,0.13545167356899782,0.018349487142586794,18.349487142586796,0.0263671875,0.0286865234375,0.027478000277161862,0.15283203125,0.188232421875,0.16869505525232642,0.09841622238194969,84.28520905897383,0.13545167356899782,0.018349487142586794,18.349487142586796,0.0263671875,0.0286865234375,0.027478000277161862,0.15283203125,0.188232421875,0.16869505525232642,84.28520905897383
scene000048_im000001_gt000003_obj000019,48,1,3,19,2048,8192,8192,81.82203674316406,169.07937622070312,220.4358367919922,218.02622985839844,0.3819137060477464,0.24085286248168306,240.85286248168305,0.09326171875,0.01953125,0.032298430735930736,0.4697265625,0.0633544921875,0.11165014240325166,0.1585937559354916,0.040572584028250085,40.572584028250084,0.050048828125,0.05322265625,0.05158697177895981,0.251953125,0.2650146484375,0.2583188828217237,0.20028027845343296,83.15461829674719,0.1585937559354916,0.040572584028250085,40.572584028250084,0.050048828125,0.05322265625,0.05158697177895981,0.251953125,0.2650146484375,0.2583188828217237,83.15461829674719
scene000048_im000001_gt000004_obj000020,48,1,4,20,2048,8192,8192,140.9196014404297,274.8551330566406,267.9806213378906,326.2564697265625,0.12476007263818799,0.025845675335058545,25.845675335058544,0.35302734375,0.0745849609375,0.12315141708892378,0.86962890625,0.181640625,0.3005127293311658,0.12193084548998356,0.021861898137910334,21.861898137910334,0.0892333984375,0.0997314453125,0.09419080946180555,0.271728515625,0.43359375,0.33408781152647976,0.003983777197148212,15.413709046110277,0.12193084548998356,0.021861898137910334,21.861898137910334,0.0892333984375,0.0997314453125,0.09419080946180555,0.271728515625,0.43359375,0.33408781152647976,15.413709046110277
scene000049_im000001_gt000000_obj000003,49,1,0,3,2048,8192,8192,105.38968658447266,234.71286010742188,269.41766357421875,289.4608154296875,0.16638432575682865,0.04030206980537773,40.302069805377734,0.15771484375,0.0433349609375,0.06798879117334547,0.66748046875,0.2127685546875,0.32267881210130356,0.10495690599539001,0.0106410687601428,10.6410687601428,0.0391845703125,0.045654296875,0.04217274617805755,0.180419921875,0.2918701171875,0.22299510633400105,0.029661001045234933,73.59671894885433,0.10495690599539001,0.0106410687601428,10.6410687601428,0.0391845703125,0.045654296875,0.04217274617805755,0.180419921875,0.2918701171875,0.22299510633400105,73.59671894885433
scene000049_im000001_gt000001_obj000006,49,1,1,6,2048,8192,8192,54.3092155456543,121.33082580566406,144.46072387695312,148.58218383789062,0.2827424370018378,0.095634646608037,95.634646608037,0.04150390625,0.011474609375,0.017978650633640552,0.19970703125,0.058349609375,0.09031216739593188,0.15600859223806585,0.02001088376623813,20.010883766238127,0.01611328125,0.0191650390625,0.017507163711072665,0.08349609375,0.12841796875,0.10119572652649769,0.07562376284179886,79.07569643849507,0.15600859223806585,0.02001088376623813,20.010883766238127,0.01611328125,0.0191650390625,0.017507163711072665,0.08349609375,0.12841796875,0.10119572652649769,79.07569643849507
scene000049_im000001_gt000002_obj000009,49,1,2,9,2048,8192,8192,61.9036750793457,159.3946075439453,195.10214233398438,194.09352111816406,0.2784620671076799,0.12743505385170822,127.43505385170822,0.04931640625,0.013671875,0.021408672480620155,0.279296875,0.08447265625,0.12971371644295301,0.17769587382292162,0.02883934892416863,28.839348924168632,0.008056640625,0.009033203125,0.008517020089285714,0.0584716796875,0.0833740234375,0.06873693154313683,0.09859570492753959,77.36937518170787,0.17769587382292162,0.02883934892416863,28.839348924168632,0.008056640625,0.009033203125,0.008517020089285714,0.0584716796875,0.0833740234375,0.06873693154313683,77.36937518170787
scene000049_im000001_gt000003_obj000013,49,1,3,13,2048,8192,8192,96.74925994873047,198.52792358398438,238.88021850585938,246.71066284179688,0.37785624603112494,0.23294932079764694,232.94932079764695,0.22265625,0.053466796875,0.08622761936339522,0.75,0.169677734375,0.27674542075922487,0.49343181348773835,0.2158777166493695,215.8777166493695,0.009033203125,0.00927734375,0.009153645833333333,0.048583984375,0.062744140625,0.05476352624725877,0.017071604148277436,7.328462727352962,0.49343181348773835,0.2158777166493695,215.8777166493695,0.009033203125,0.00927734375,0.009153645833333333,0.048583984375,0.062744140625,0.05476352624725877,7.328462727352962
scene000050_im000620_gt000000_obj000002,50,620,0,2,2048,8192,8192,155.8115692138672,297.84149169921875,376.7582702636719,373.6960754394531,0.295064465557885,0.14265368943061502,142.653689430615,0.2099609375,0.0496826171875,0.08035176451574988,0.73193359375,0.161376953125,0.2644482675423613,0.12271469293026499,0.013383216890921527,13.383216890921528,0.0169677734375,0.0211181640625,0.018816825671073716,0.1036376953125,0.1845703125,0.1327405297013977,0.12927047253969348,90.61838712735785,0.12271469293026499,0.013383216890921527,13.383216890921528,0.0169677734375,0.0211181640625,0.018816825671073716,0.1036376953125,0.1845703125,0.1327405297013977,90.61838712735785
scene000050_im000620_gt000002_obj000005,50,620,2,5,2048,8192,8192,96.88017272949219,208.62913513183594,243.3778076171875,257.2567443847656,0.2835487315402857,0.12440189887165927,124.40189887165927,0.17138671875,0.0440673828125,0.07010833480878187,0.6728515625,0.163818359375,0.2634860802086373,0.16119329054130388,0.022123922009346597,22.123922009346597,0.0242919921875,0.0281982421875,0.026099768350290698,0.1173095703125,0.168212890625,0.13822367498129542,0.10227797686231267,82.21576823986344,0.16119329054130388,0.022123922009346597,22.123922009346597,0.0242919921875,0.0281982421875,0.026099768350290698,0.1173095703125,0.168212890625,0.13822367498129542,82.21576823986344
scene000050_im000620_gt000003_obj000010,50,620,3,10,2048,8192,8192,125.4531478881836,214.69163513183594,219.10153198242188,257.649169921875,0.10741058906707071,0.015402206638562715,15.402206638562715,0.42431640625,0.1265869140625,0.19499938545590517,0.87060546875,0.2950439453125,0.44072749355298985,0.18820838649321572,0.06514356143233653,65.14356143233653,0.0657958984375,0.098388671875,0.0788572403578067,0.20458984375,0.513916015625,0.29266844790604823,-0.04974135479377381,-322.94953548562125,0.18820838649321572,0.06514356143233653,65.14356143233653,0.0657958984375,0.098388671875,0.0788572403578067,0.20458984375,0.513916015625,0.29266844790604823,-322.94953548562125
scene000050_im000620_gt000004_obj000015,50,620,4,15,2048,8192,8192,191.447998046875,371.6188049316406,322.881591796875,433.5552978515625,0.10128606479449336,0.01407602007394292,14.076020073942919,0.44580078125,0.123291015625,0.19316121366902617,0.9013671875,0.277099609375,0.4238872002537808,0.09175478969863043,0.013711624520192367,13.711624520192366,0.0987548828125,0.1427001953125,0.11672847119091254,0.27978515625,0.6072998046875,0.383082744555869,0.00036439555375055235,2.5887683580752334,0.09175478969863043,0.013711624520192367,13.711624520192366,0.0987548828125,0.1427001953125,0.11672847119091254,0.27978515625,0.6072998046875,0.383082744555869,2.5887683580752334
scene000051_im000001_gt000000_obj000001,51,1,0,1,2048,8192,8192,85.87303161621094,199.17066955566406,250.11241149902344,244.78065490722656,0.35979014754368127,0.2095578594128634,209.5578594128634,0.08203125,0.0203857421875,0.032656063766388556,0.404296875,0.103271484375,0.16451907467532467,0.2575690075584587,0.05999241986844948,59.992419868449474,0.01123046875,0.0118408203125,0.011527571097883597,0.06884765625,0.0870361328125,0.07688078137235708,0.14956543954441393,71.37190652904383,0.2575690075584587,0.05999241986844948,59.992419868449474,0.01123046875,0.0118408203125,0.011527571097883597,0.06884765625,0.0870361328125,0.07688078137235708,71.37190652904383
scene000051_im000001_gt000001_obj000003,51,1,1,3,2048,8192,8192,177.04212951660156,280.0986328125,250.84442138671875,329.5,0.0963436525234945,0.01367608305655152,13.676083056551521,0.5126953125,0.156982421875,0.24036681439117755,0.955078125,0.3460693359375,0.5080488759499014,0.07135558313213594,0.006548263279556045,6.548263279556045,0.11865234375,0.1734619140625,0.14091515291997492,0.291015625,0.7357177734375,0.41706127021162764,0.007127819776995475,52.11886873983919,0.07135558313213594,0.006548263279556045,6.548263279556045,0.11865234375,0.1734619140625,0.14091515291997492,0.291015625,0.7357177734375,0.41706127021162764,52.11886873983919
