name,obj_id,num_partial_points,num_gt_points,num_adapointr_points,partial_cd_l2_x1000,adapointr_cd_l2_x1000,improvement_percent,partial_fscore_0p01,adapointr_fscore_0p01,partial_fscore_0p02,adapointr_fscore_0p02
scene000048_im000001_gt000000_obj000001,1,2048,8192,16384,279.99218918698693,398.31619761438685,-42.25975330632517,0.0037730823863636365,0.003199084051724138,0.029937020571827056,0.017833950988247863
scene000048_im000001_gt000001_obj000006,6,2048,8192,16384,50.456078335216475,56.572300132974654,-12.121873121259368,0.0524604700355273,0.02919244627485451,0.19805700410125243,0.09611061482581
scene000048_im000001_gt000002_obj000014,14,2048,8192,16384,116.76570952453648,130.6457073375429,-11.88704960516661,0.05120670499435666,0.02303584929435484,0.2028161889644071,0.08943281864955724
scene000048_im000001_gt000003_obj000019,19,2048,8192,16384,240.85286248168305,253.6744158747209,-5.323396724841882,0.032298430735930736,0.028188811862929184,0.11165014240325166,0.08897334686919299
scene000048_im000001_gt000004_obj000020,20,2048,8192,16384,25.845675335058544,22.86421818690268,11.535613248656915,0.12315141708892378,0.13374113101479257,0.3005127293311658,0.31497464295259187
scene000049_im000001_gt000000_obj000003,3,2048,8192,16384,40.302069805377734,80.69736862905702,-100.23132563352644,0.06798879117334547,0.009459763430477528,0.32267881210130356,0.04526983869737645
scene000049_im000001_gt000001_obj000006,6,2048,8192,16384,95.634646608037,170.83669838908136,-78.63473589154715,0.017978650633640552,0.01743620242214533,0.09031216739593188,0.06176176525297619
scene000049_im000001_gt000002_obj000009,9,2048,8192,16384,127.43505385170822,213.00163461468702,-67.14524628564891,0.021408672480620155,0.0029005698107798165,0.12971371644295301,0.013944185697115384
scene000049_im000001_gt000003_obj000013,13,2048,8192,16384,232.94932079764695,278.3118061176981,-19.47311336419634,0.08622761936339522,0.012755807522123894,0.27674542075922487,0.05155050157446965
scene000050_im000620_gt000000_obj000002,2,2048,8192,16384,142.653689430615,172.9346724286632,-21.22691892436226,0.08035176451574988,0.005805783155487805,0.2644482675423613,0.02448124616093366
scene000050_im000620_gt000002_obj000005,5,2048,8192,16384,124.40189887165927,157.44296032311686,-26.559933370104588,0.07010833480878187,0.02076405338921283,0.2634860802086373,0.056416409322763025
scene000050_im000620_gt000003_obj000010,10,2048,8192,16384,15.402206638562715,19.68489526933667,-27.80568220693346,0.19499938545590517,0.055404443915614165,0.44072749355298985,0.15449987240163326
scene000050_im000620_gt000004_obj000015,15,2048,8192,16384,14.076020073942919,16.391667839917346,-16.451012102924466,0.19316121366902617,0.11419453125,0.4238872002537808,0.27791848710984685
