name,obj_id,partial_cd_l2_x1000,3dsgrasp_cd_l2_x1000,adapointr_cd_l2_x1000,3dsgrasp_improvement_percent,adapointr_improvement_percent,winner
scene000048_im000001_gt000000_obj000001,1,279.99218918698693,79.17700509104705,398.31619761438685,71.72170933733786,-42.259753306325166,3DSGrasp
scene000048_im000001_gt000001_obj000006,6,50.456078335216475,10.826340630007568,56.572300132974654,78.5430398334165,-12.121873121259371,3DSGrasp
scene000048_im000001_gt000002_obj000014,14,116.76570952453648,18.349487142586796,130.6457073375429,84.28520905897382,-11.887049605166617,3DSGrasp
scene000048_im000001_gt000003_obj000019,19,240.85286248168305,40.572584028250084,253.6744158747209,83.1546182967472,-5.323396724841886,3DSGrasp
scene000048_im000001_gt000004_obj000020,20,25.845675335058544,21.861898137910334,22.86421818690268,15.413709046110274,11.535613248656912,3DSGrasp
scene000049_im000001_gt000000_obj000003,3,40.302069805377734,10.6410687601428,80.69736862905702,73.59671894885432,-100.23132563352644,3DSGrasp
scene000049_im000001_gt000001_obj000006,6,95.634646608037,20.010883766238127,170.83669838908136,79.07569643849509,-78.63473589154715,3DSGrasp
scene000049_im000001_gt000002_obj000009,9,127.43505385170822,28.839348924168632,213.00163461468702,77.36937518170785,-67.14524628564891,3DSGrasp
scene000049_im000001_gt000003_obj000013,13,232.94932079764695,215.8777166493695,278.3118061176981,7.328462727352971,-19.47311336419632,3DSGrasp
scene000050_im000620_gt000000_obj000002,2,142.653689430615,13.383216890921528,172.9346724286632,90.61838712735786,-21.226918924362266,3DSGrasp
scene000050_im000620_gt000002_obj000005,5,124.40189887165927,22.123922009346597,157.44296032311686,82.21576823986342,-26.559933370104588,3DSGrasp
scene000050_im000620_gt000003_obj000010,10,15.402206638562715,65.14356143233653,19.68489526933667,-322.94953548562125,-27.80568220693345,AdaPoinTr
scene000050_im000620_gt000004_obj000015,15,14.076020073942919,13.711624520192366,16.391667839917346,2.588768358075238,-16.451012102924466,3DSGrasp
scene000051_im000001_gt000000_obj000001,1,209.5578594128634,59.992419868449474,292.36837506347825,71.37190652904381,-39.51677874675392,3DSGrasp
scene000051_im000001_gt000001_obj000003,3,13.676083056551521,6.548263279556045,11.723901768293677,52.1188687398392,14.274418195512876,3DSGrasp
