name,obj_id,partial_cd_l2_x1000,3dsgrasp_cd_l2_x1000,adapointr_cd_l2_x1000,3dsgrasp_improvement_percent,adapointr_improvement_percent,winner
scene000048_im000001_gt000000_obj000001,1,279.99218918698693,266895.6688038271,398.31619761438685,-95222.54081044611,-42.259753306325166,AdaPoinTr
scene000048_im000001_gt000001_obj000006,6,50.456078335216475,270818.88527519256,56.572300132974654,-536641.8440171776,-12.121873121259371,AdaPoinTr
scene000048_im000001_gt000002_obj000014,14,116.76570952453648,279430.2341746563,130.6457073375429,-239208.47105068841,-11.887049605166617,AdaPoinTr
scene000048_im000001_gt000003_obj000019,19,240.85286248168305,220972.02865680493,253.6744158747209,-91645.65183903924,-5.323396724841886,AdaPoinTr
scene000048_im000001_gt000004_obj000020,20,25.845675335058544,39800.13417526137,22.86421818690268,-153891.4653391711,11.535613248656912,AdaPoinTr
scene000049_im000001_gt000000_obj000003,3,40.302069805377734,104122.65750410323,80.69736862905702,-258255.60805417883,-100.23132563352644,AdaPoinTr
scene000049_im000001_gt000001_obj000006,6,95.634646608037,567498.7657594475,170.83669838908136,-593302.8993544225,-78.63473589154715,AdaPoinTr
scene000049_im000001_gt000002_obj000009,9,127.43505385170822,505111.25648205675,213.00163461468702,-396267.5936997973,-67.14524628564891,AdaPoinTr
scene000049_im000001_gt000003_obj000013,13,232.94932079764695,126922.09425081684,278.3118061176981,-54384.85267792156,-19.47311336419632,AdaPoinTr
scene000050_im000620_gt000000_obj000002,2,142.653689430615,85210.84668857302,172.9346724286632,-59632.66238586736,-21.226918924362266,AdaPoinTr
scene000050_im000620_gt000002_obj000005,5,124.40189887165927,135553.9385849604,157.44296032311686,-108864.52531227538,-26.559933370104588,AdaPoinTr
scene000050_im000620_gt000003_obj000010,10,15.402206638562715,80747.0647936382,19.68489526933667,-524156.4697935598,-27.80568220693345,AdaPoinTr
scene000050_im000620_gt000004_obj000015,15,14.076020073942919,49410.95013789025,16.391667839917346,-350929.26735205663,-16.451012102924466,AdaPoinTr
scene000051_im000001_gt000000_obj000001,1,209.5578594128634,266091.3641013211,292.36837506347825,-126877.51582634628,-39.51677874675392,AdaPoinTr
scene000051_im000001_gt000001_obj000003,3,13.676083056551521,46248.255816046236,11.723901768293677,-338068.8720725561,14.274418195512876,AdaPoinTr
scene000051_im000001_gt000002_obj000004,4,87.37768382778033,344778.89112907805,195.1235764399901,-394484.6079058703,-123.31053867778732,AdaPoinTr
